La Malerune : trilogie complète | Pierre Grimbert | 22,90€ | https://www.amazon.fr/Malerune-trilogie-compl%C3%A8te-Pierre-Grimbert/dp/2253132810/ref=sr_1_4
Fantasy | Yoann Kavege | 29,90€ | https://www.amazon.fr/Fantasy-Yoann-Kavege/dp/2487276045/ref=sr_1_5
Fantasy | Yoann Kavege | Prix non disponible | https://www.amazon.fr/Fantasy-Yoann-Kavege-ebook/dp/B0F2ZRHLZH/ref=sr_1_5
La Fugue enchantée | Aurélie Piaton | Prix non disponible | https://www.amazon.fr/Fugue-enchant%C3%A9e-Aur%C3%A9lie-Piaton-ebook/dp/B0FFM8NV8S/ref=sr_1_6
La Fugue enchantée | Aurélie Piaton | Prix non disponible | https://www.amazon.fr/Fugue-enchant%C3%A9e-Aur%C3%A9lie-Piaton/dp/B0FKG7RB4K/ref=sr_1_6
Le Temps des sorcières | Alix E. Harrow | 10,40€ | https://www.amazon.fr/Temps-sorci%C3%A8res-Alix-Harrow/dp/2253243752/ref=sr_1_7
Le temps des sorcières (Le Rayon Imaginaire) | Alix E. Harrow | Prix non disponible | https://www.amazon.fr/temps-sorci%C3%A8res-Rayon-Imaginaire-ebook/dp/B0BHDWKGSV/ref=sr_1_7
Le temps des sorcières | Alix E. Harrow | 28,00€ | https://www.amazon.fr/temps-sorci%C3%A8res-Alix-Harrow/dp/2017164003/ref=sr_1_7
Ironhold : Épreuve une (Tome 1 de la série Ironhold) | Morgan Rice | Prix non disponible | https://www.amazon.fr/Ironhold-%C3%89preuve-une-s%C3%A9rie-ebook/dp/B0DVF43RG4/ref=sr_1_10
L’Appel du Vide – Roman de Dark Fantasy Poétique: Une héroïne rejetée, un renard blanc, un monde brisé – Tome 1 (LES ÉCORCHÉS – Dark Fantasy émotionnelle et initiatique) | Sol Wen | Prix non disponible | https://www.amazon.fr/LAppel-Vide-Po%C3%A9tique-%C3%A9motionnelle-initiatique-ebook/dp/B0FM8KWB3R/ref=sr_1_11
As Blue As Sky: Dark Peace – Tome 2 | Louise Garénaux | Prix non disponible | https://www.amazon.fr/As-Blue-Sky-Dark-Peace/dp/B0FGXJW2VG/ref=sr_1_12
Le pacte des roses, Tome 01: Le pacte des roses | Sasha Peyton Smith | 19,90€ | https://www.amazon.fr/pacte-roses-01/dp/B0DSP5LGHR/ref=sr_1_13
Le pacte des roses, Tome 01 : Le pacte des roses | Sasha Peyton Smith | Prix non disponible | https://www.amazon.fr/pacte-roses-01-ebook/dp/B0F44C1KZ6/ref=sr_1_13
Le pacte des roses: Le pacte des roses, Tome 1 | Sasha Peyton Smith | 0,00€ | https://www.amazon.fr/pacte-roses/dp/B0F2TPHCQL/ref=sr_1_13
L'Apprenti: Le Porteur de Mort, T1 | Angel Arekin | Prix non disponible | https://www.amazon.fr/LApprenti-Porteur-Mort-Angel-Arekin-ebook/dp/B09M223M8Z/ref=sr_1_15
L'Apprenti: Le Porteur de Mort 1 | Angel Arekin | 0,00€ | https://www.amazon.fr/LApprenti-Porteur-Mort-1/dp/B07NQSPBQN/ref=sr_1_15
L'Apprenti (Le Porteur de mort, Tome 1) | Angel Arekin | 9,90€ | https://www.amazon.fr/LApprenti-Porteur-mort-Angel-Arekin/dp/2253820261/ref=sr_1_15
Le Porteur de Mort, tome 1 : L'Apprenti | Angel Arekin | 21,90€ | https://www.amazon.fr/Porteur-Mort-1-LApprenti/dp/B01LAIHY68/ref=sr_1_15
La Trilogie de la Bibliothèque, T2 : Le livre qui brisa le monde | Mark Lawrence | Prix non disponible | https://www.amazon.fr/Trilogie-Biblioth%C3%A8que-T2-livre-brisa/dp/B0F328DM7G/ref=sr_1_16
Le livre qui brisa le monde: La Trilogie de la Bibliothèque, Vol. 2 | Mark Lawrence | 0,00€ | https://www.amazon.fr/livre-qui-brisa-monde-Biblioth%C3%A8que/dp/B0F6VHGH9L/ref=sr_1_16
La Trilogie de la Bibliothèque, T2 : Le livre qui brisa le monde | Mark Lawrence | Prix non disponible | https://www.amazon.fr/Trilogie-Biblioth%C3%A8que-T2-livre-brisa-ebook/dp/B0F2N12B83/ref=sr_1_16
La Flamme des dragons - Tome 01 La Reine du feu relié (collector) (01) | Olivia Rose Darling | Prix non disponible | https://www.amazon.fr/Flamme-dragons-Reine-reli%C3%A9-collector/dp/2385661918/ref=sr_1_17
La Flamme des dragons - e-book - Tome 01 La Reine du feu | Olivia Rose Darling | Prix non disponible | https://www.amazon.fr/Flamme-dragons-book-Reine-feu-ebook/dp/B0FHS4S3P8/ref=sr_1_17
