nom_categorie,url,nom_fichier,nb_sous_categories,timestamp
Voir plus,https://www.amazon.fr/s?n=301061&i=stripbooks&sort=popularity-rank&p_72=4-&ref_=Oct_d_otopr_S&pd_rd_w=9l5fT&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&pd_rd_wg=C1cHg&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a,voir_plus,84,2025-09-12T13:52:44.788340
Voir plus > Recevez-le aujourd'hui,https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cp_72%3A184904031%2Cp_90%3A6828315031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=6828314031&ref=sr_nr_p_90_1&ds=v1%3ARF%2F0t0kLoU4vThdpRe5uDYl1t19UgEL5CCCs%2FIRDgr0,recevez_le_aujourd_hui,0,2025-09-12T13:52:45.742631
Voir plus > Recevez-le d'ici demain,https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cp_72%3A184904031%2Cp_90%3A6828316031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=6828314031&ref=sr_nr_p_90_2&ds=v1%3A4QqBIvX%2Bm6X5fp1Fa2FuM9QvJaskJ1fI3R4jf8cp8Lo,recevez_le_d_ici_demain,0,2025-09-12T13:52:45.742648
"Voir plus > Actualité, Politique et Société",https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cn%3A689215031%2Cp_72%3A184904031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=301061&ref=sr_nr_n_1&ds=v1%3AXcw3e%2BAw09Xlcidy%2F7hjwp%2BE%2BLMtQYbefh%2FXk3aEdH0,actualité_politique_et_société,0,2025-09-12T13:52:45.742654
Voir plus > Adolescents,https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cn%3A4237308031%2Cp_72%3A184904031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=301061&ref=sr_nr_n_2&ds=v1%3AtQfiSdXsDH8qN%2BgiLzOM8fwLm7wgTbLYlkT46bCh5lk,adolescents,0,2025-09-12T13:52:45.742658
Voir plus > Arts et photographie,https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cn%3A301144%2Cp_72%3A184904031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=301061&ref=sr_nr_n_3&ds=v1%3APXYxA5q0Mpfi7YWoKnAIswGHHxTlvRjDwQk7A%2Fgkp50,arts_et_photographie,0,2025-09-12T13:52:45.742662
Voir plus > Bandes dessinées,https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cn%3A301133%2Cp_72%3A184904031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=301061&ref=sr_nr_n_4&ds=v1%3AlQHHpcsNfXdkaqMqawxCU6BhVfqQ4kmgdSc8oe5v0hg,bandes_dessinées,0,2025-09-12T13:52:45.742666
Voir plus > Beaux livres,https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cn%3A293136011%2Cp_72%3A184904031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=301061&ref=sr_nr_n_5&ds=v1%3AcGnyr7KOFwcjDor0ULue94gHevuhePUyPos1jdsPyAo,beaux_livres,0,2025-09-12T13:52:45.742669
Voir plus > Calendriers et Agendas,https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cn%3A8434456031%2Cp_72%3A184904031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=301061&ref=sr_nr_n_6&ds=v1%3AXEIl9lqKq%2B0cTqdrEskM1tTHqROMnqpW0GsAapb3SEM,calendriers_et_agendas,0,2025-09-12T13:52:45.742672
"Voir plus > Livres de cuisine, cuisine et vins",https://www.amazon.fr/s?i=stripbooks&rh=n%3A301061%2Cn%3A302050%2Cp_72%3A184904031&s=popularity-rank&dc&content-id=amzn1.sym.fd35f9f2-1aca-4d5e-befe-a52647ead21e&pd_rd_r=fdd37d9e-d505-41c8-a376-2503eb41701a&pd_rd_w=9l5fT&pd_rd_wg=C1cHg&pf_rd_p=fd35f9f2-1aca-4d5e-befe-a52647ead21e&pf_rd_r=2Q2H9BF5933F1A3DHXFZ&qid=1757677964&rnid=301061&ref=sr_nr_n_7&ds=v1%3A2DgFrTYWdRX%2FeM433FCiDOKH2Cg%2BN7ga3drJC1BfSJY,livres_de_cuisine_cuisine_et_vins,0,2025-09-12T13:52:45.742676
