titre,url,prix,auteur,note,nombre_avis,format,image_url,date_scraping,description,stock,isbn,editeur,date_publication,pages,rang_vente,categorie,page_source,image,etoiles
"La Première loi, T3 : Dernier combat",https://www.amazon.fr/Premi%C3%A8re-loi-T3-Dernier-combat/dp/B07B5WFTCX/ref=sr_1_323,"12,90 €",Joe Abercrombie,"4,6 sur 5 étoiles, détails de l’évaluation",473,Broché,https://m.media-amazon.com/images/I/81NtS1LnDvL._AC_UY218_.jpg,2025-09-04T08:48:06.317148,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
"La Cour de l’Hiver: Les Secrets du Givre et de la Neige, T1",https://www.amazon.fr/Cour-lHiver-Secrets-Givre-Neige-ebook/dp/B0DYPHX73X/ref=sr_1_324,"7,99 €",Krista Street,"4,3 sur 5 étoiles, détails de l’évaluation",38,Format Kindle,https://m.media-amazon.com/images/I/81lsW2d6kyL._AC_UY218_.jpg,2025-09-04T08:48:06.320287,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
La Trilogie des fourmis,https://www.amazon.fr/Trilogie-fourmis-Bernard-Werber/dp/2253072982/ref=sr_1_325,"26,90 €",Bernard Werber,"4,6 sur 5 étoiles, détails de l’évaluation",352,Broché,https://m.media-amazon.com/images/I/71OFry-zm+L._AC_UY218_.jpg,2025-09-04T08:48:06.322330,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
"La Guilde des Ombres, tome 3 : Le Don de Vie: La Guilde des ombres, tome 3 (3)",https://www.amazon.fr/Guilde-Ombres-Don-Vie-ombres/dp/226632537X/ref=sr_1_326,"12,90 €",Anna Triss,"4,8 sur 5 étoiles, détails de l’évaluation",453,Poche,https://m.media-amazon.com/images/I/71xk7U4gVqL._AC_UY218_.jpg,2025-09-04T08:48:06.325634,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
Le Trône du prisonnier - Relié,https://www.amazon.fr/Tr%C3%B4ne-du-prisonnier-Reli%C3%A9/dp/270028013X/ref=sr_1_327,"25,90 €",Holly Black,"4,5 sur 5 étoiles, détails de l’évaluation",64,Relié,https://m.media-amazon.com/images/I/71w872xP-lL._AC_UY218_.jpg,2025-09-04T08:48:06.329078,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
L'héritier des loups,https://www.amazon.fr/Lh%C3%A9ritier-loups-Jupiter-Phaeton/dp/238401160X/ref=sr_1_328,"12,90 €",Jupiter Phaeton,"4,7 sur 5 étoiles, détails de l’évaluation",1 843,Broché,https://m.media-amazon.com/images/I/71ERwkoyqVL._AC_UY218_.jpg,2025-09-04T08:48:06.331958,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
Harry Potter and the Philosopher’s Stone: MinaLima Edition,https://www.amazon.fr/Harry-Potter-Philosophers-Stone-MinaLima/dp/1526626586/ref=sr_1_329,"41,00 €",J.K. Rowling,"4,8 sur 5 étoiles, détails de l’évaluation",7 232,Relié,https://m.media-amazon.com/images/I/91r0dvXhNGL._AC_UY218_.jpg,2025-09-04T08:48:06.334442,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
"La Première loi, T2 : Haut et court",https://www.amazon.fr/Premi%C3%A8re-loi-T2-Haut-court/dp/B076BJJF4N/ref=sr_1_330,"9,95 €",Joe Abercrombie,"4,5 sur 5 étoiles, détails de l’évaluation",542,Broché,https://m.media-amazon.com/images/I/91DHsGYVbuL._AC_UY218_.jpg,2025-09-04T08:48:06.337905,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
L'ombre sous la glace (L'académie du feu t. 4),https://www.amazon.fr/Lombre-sous-glace-Lacad%C3%A9mie-feu-ebook/dp/B0F1L46Z43/ref=sr_1_333,"16,90 €",Jupiter Phaeton,"4,7 sur 5 étoiles, détails de l’évaluation",726,Format Kindle,https://m.media-amazon.com/images/I/91ffxA+mIrL._AC_UY218_.jpg,2025-09-04T08:48:06.346575,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
"La Roue du Temps, T5 : Le Dragon Réincarné - première partie",https://www.amazon.fr/Roue-Temps-T3-1-R%C3%A9incarn%C3%A9-premi%C3%A8re/dp/B07PB1S58R/ref=sr_1_334,"9,95 €",Robert Jordan,"4,9 sur 5 étoiles, détails de l’évaluation",240,Poche,https://m.media-amazon.com/images/I/91hTMQ9ceWL._AC_UY218_.jpg,2025-09-04T08:48:06.348681,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
"La Trilogie de la Bibliothèque, T2 : Le livre qui brisa le monde",https://www.amazon.fr/Trilogie-Biblioth%C3%A8que-T2-livre-brisa/dp/B0F328DM7G/ref=sr_1_335,"28,00 €",Mark Lawrence,"4,6 sur 5 étoiles, détails de l’évaluation",13,Relié,https://m.media-amazon.com/images/I/81V4lzwxPEL._AC_UY218_.jpg,2025-09-04T08:48:06.352102,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
Atalante (relié collector),https://www.amazon.fr/Atalante-reli%C3%A9-collector-Jennifer-Saint/dp/2385601362/ref=sr_1_336,"26,90 €",de Jennifer Saint et Laurent Queyssi | 28 août 2025,Note non disponible,0 avis,Relié,https://m.media-amazon.com/images/I/618CgB7rVkL._AC_UY218_.jpg,2025-09-04T08:48:06.354783,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
"A Court of Wings and Ruin: The third book in the GLOBALLY BESTSELLING, SENSATIONAL series (A Court of Thorns and Roses 3) (English Edition)",https://www.amazon.fr/Court-Wings-Ruin-Sarah-Maas-ebook/dp/B01LWIYWPB/ref=sr_1_337,"10,22 €",Sarah J. Maas,"4,7 sur 5 étoiles, détails de l’évaluation",252 243,Format Kindle,https://m.media-amazon.com/images/I/81csincCSbL._AC_UY218_.jpg,2025-09-04T08:48:06.358243,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Biographies,21.0,,
