titre,auteur,prix,note,url,categorie,date_scraping,source
,,"BrochéPrix, page produit19,90 €19,90€","4,4 sur 5 étoiles",https://www.amazon.fr/Boostez-votre-leadership-communication-performances/dp/9916927561,Entreprise Et Bourse,2025-09-12T14:56:19.248526,Amazon FR
,,"BrochéPrix, page produit22,00 €22,00€","4,6 sur 5 étoiles",https://www.amazon.fr/Avant-quitter-emploi-Robert-Kiyosaki/dp/2924973880,Entreprise Et Bourse,2025-09-12T14:56:19.249398,Amazon FR
,,"BrochéPrix, page produit14,99 €14,99€","4,2 sur 5 étoiles",https://www.amazon.fr/Investir-bourse-avec-PEA-d%C3%A9butant/dp/B0C2SMVPW3,Entreprise Et Bourse,2025-09-12T14:56:19.250186,Amazon FR
,,Broché,"4,4 sur 5 étoiles",https://www.amazon.fr/Bourse-pour-Nuls-5e-%C3%A9dition/dp/2412048142,Entreprise Et Bourse,2025-09-12T14:56:19.250996,Amazon FR
,,"BrochéPrix, page produit14,50 €14,50€","5,0 sur 5 étoiles",https://www.amazon.fr/secrets-bourse-comment-r%C3%A9ussir-investissements/dp/B0FGJSSVYX,Entreprise Et Bourse,2025-09-12T14:56:19.251659,Amazon FR
,,"BrochéPrix, page produit43,90 €43,90€",,https://www.amazon.fr/STRUCTURE-PROPRI%C3%89T%C3%89-PERFORMANCE-FINANCI%C3%88RE-ENTREPRISES/dp/6208248027,Entreprise Et Bourse,2025-09-12T14:56:19.252335,Amazon FR
,,"BrochéPrix, page produit22,00 €22,00€",,https://www.amazon.fr/Investir-Bourse-avec-Internet-Lancez-vous/dp/231162735X,Entreprise Et Bourse,2025-09-12T14:56:19.253288,Amazon FR
,,"BrochéPrix, page produit23,00 €23,00€","4,2 sur 5 étoiles",https://www.amazon.fr/Guide-pratique-valorisation-dune-PME/dp/2297136463,Entreprise Et Bourse,2025-09-12T14:56:19.254000,Amazon FR
,,"BrochéPrix, page produit45,00 €45,00€",,https://www.amazon.fr/patrimoine-chef-dentreprise-transmettre-professionnel/dp/2297286473,Entreprise Et Bourse,2025-09-12T14:56:19.254737,Amazon FR
,,"BrochéPrix, page produit44,60 €44,60€","4,5 sur 5 étoiles",https://www.amazon.fr/chartisme-Fran%C3%A7ois-Baron/dp/2212540167,Entreprise Et Bourse,2025-09-12T14:56:19.255519,Amazon FR
,,"BrochéPrix, page produit42,00 €42,00€","5,0 sur 5 étoiles",https://www.amazon.fr/patrimoine-chef-dentreprise-transmettre-professionnel/dp/2297222963,Entreprise Et Bourse,2025-09-12T14:56:19.256174,Amazon FR
,,"PochePrix, page produit28,00 €28,00€","4,6 sur 5 étoiles",https://www.amazon.fr/Pratique-l%C3%A9valuation-dentreprise-Michel-Salva/dp/2311402382,Entreprise Et Bourse,2025-09-12T14:56:19.256993,Amazon FR
,,"BrochéPrix, page produit24,43 €24,43€",,https://www.amazon.fr/Syst%C3%A8me-contr%C3%B4le-interne-rentabilit%C3%A9-entreprises/dp/6203909335,Entreprise Et Bourse,2025-09-12T14:56:19.257687,Amazon FR
,,"BrochéPrix, page produit12,66 €12,66€","3,0 sur 5 étoiles",https://www.amazon.fr/R%C3%A9organisation-Restructuration-dEntreprise-Cl%C3%A9s-Succ%C3%A8/dp/B0CMDGHLRZ,Entreprise Et Bourse,2025-09-12T14:56:19.258412,Amazon FR
,,"BrochéPrix, page produit16,83 €16,83€",,https://www.amazon.fr/dp/B0FQ5QC3NS,Entreprise Et Bourse,2025-09-12T14:56:19.259221,Amazon FR
,,"BrochéPrix, page produit10,90 €10,90€","4,2 sur 5 étoiles",https://www.amazon.fr/Warren-Buffett-conseils-investir-Devenir/dp/1520954581,Entreprise Et Bourse,2025-09-12T14:56:19.260206,Amazon FR
