titre,auteur,prix,note,url,categorie,date_scraping,source
,,"BrochéPrix, page produit14,39 €14,39€","5,0 sur 5 étoiles",https://www.amazon.fr/SPOOKY-COLORIAGES-%C3%89soterisme-Paranormal-Sorcellerie/dp/B0D7MJ11MQ,Esoterisme Et Paranormal,2025-09-12T16:24:42.715798,Amazon FR
,,"BrochéPrix, page produit19,00 €19,00€","3,8 sur 5 étoiles",https://www.amazon.fr/culte-phallus-chez-anciens-modernes/dp/2385081695,Esoterisme Et Paranormal,2025-09-12T16:24:42.716601,Amazon FR
,,"BrochéPrix, page produit18,00 €18,00€","5,0 sur 5 étoiles",https://www.amazon.fr/Poimandr%C3%A8s-Herm%C3%A8s-Trism%C3%A9giste/dp/2385083590,Esoterisme Et Paranormal,2025-09-12T16:24:42.717354,Amazon FR
,,"BrochéPrix, page produit18,00 €18,00€","5,0 sur 5 étoiles",https://www.amazon.fr/signature-choses-rerum/dp/238274958X,Esoterisme Et Paranormal,2025-09-12T16:24:42.718133,Amazon FR
,,Broché,"4,0 sur 5 étoiles",https://www.amazon.fr/Encyclop%C3%A9die-du-paranormal-Jean-Pierre-Girard/dp/2841973565,Esoterisme Et Paranormal,2025-09-12T16:24:42.718720,Amazon FR
,,"BrochéPrix, page produit19,00 €19,00€",,https://www.amazon.fr/vie-%C3%A9sot%C3%A9rique-J%C3%A9sus-Christ/dp/2385081377,Esoterisme Et Paranormal,2025-09-12T16:24:42.719534,Amazon FR
,,"BrochéPrix, page produit10,55 €10,55€","5,0 sur 5 étoiles",https://www.amazon.fr/Douceur-Magn%C3%A9tisme-Tourment-Ma%C3%AEtre-Deunov/dp/1326983563,Esoterisme Et Paranormal,2025-09-12T16:24:42.720328,Amazon FR
,,"BrochéPrix, page produit18,00 €18,00€",,https://www.amazon.fr/tables-tournantes-Jersey-Victor-Hugo/dp/2385083051,Esoterisme Et Paranormal,2025-09-12T16:24:42.721181,Amazon FR
,,"BrochéPrix, page produit18,00 €18,00€",,https://www.amazon.fr/Trait%C3%A9-lantimoine-Nicolas-Lemery/dp/2385084015,Esoterisme Et Paranormal,2025-09-12T16:24:42.722047,Amazon FR
,,"BrochéPrix, page produit16,00 €16,00€",,https://www.amazon.fr/Isis-Osiris-mythe-dIsis-r%C3%A9v%C3%A9l%C3%A9/dp/2385080338,Esoterisme Et Paranormal,2025-09-12T16:24:42.722816,Amazon FR
,,Format KindleInclus dans l’Abonnement KindleEn savoir plus,"5,0 sur 5 étoiles",https://www.amazon.fr/ANNALES-AKASHIQUES-INTELLIGENCE-ARTIFICIELLE-spiritualit%C3%A9-ebook/dp/B0FN9DSHPV,Esoterisme Et Paranormal,2025-09-12T16:24:42.723506,Amazon FR
,,"BrochéPrix, page produit20,00 €20,00€","4,6 sur 5 étoiles",https://www.amazon.fr/Archanges-Ma%C3%AEtres-ascensionn%C3%A9s-travailler-divinit%C3%A9s/dp/2911525949,Esoterisme Et Paranormal,2025-09-12T16:24:42.724531,Amazon FR
,,"BrochéPrix, page produit8,90 €8,90€",,https://www.amazon.fr/Krishna-G%C3%B4pis-chapitres-adult%C3%A8res-Bhagavata/dp/2385080370,Esoterisme Et Paranormal,2025-09-12T16:24:42.725308,Amazon FR
,,Format KindleInclus dans l’Abonnement KindleEn savoir plus,"4,6 sur 5 étoiles",https://www.amazon.fr/VIVANTE-historique-Rose-croix-%C3%A9sot%C3%A9rique-spiritualit%C3%A9-ebook/dp/B0F1V26QDD,Esoterisme Et Paranormal,2025-09-12T16:24:42.726139,Amazon FR
,,"BrochéPrix, page produit9,99 €9,99€",,https://www.amazon.fr/illumin%C3%A9s-dAvignon-histoire-soci%C3%A9t%C3%A9-avignonnaise/dp/2385082772,Esoterisme Et Paranormal,2025-09-12T16:24:42.726901,Amazon FR
,,"BrochéPrix, page produit18,00 €18,00€","5,0 sur 5 étoiles",https://www.amazon.fr/Entretiens-C%C3%A9lestes-Paqui/dp/2851578065,Esoterisme Et Paranormal,2025-09-12T16:24:42.727627,Amazon FR
