titre,auteur,prix,image,description,stock,etoiles,format,nombre_avis,rang_vente,categorie,url,date_scraping,note,image_url,isbn,editeur,date_publication,pages,page_source
Fantasy,Yoann Kavege,"29,90€",https://m.media-amazon.com/images/I/711haiEU3XL._SY342_.jpg,"Deux héroïnes, deux histoires, un seul album : Yoann Kavege renverse la perspective avec un livre à double entrée.",En stock,"5,0 sur 5 étoiles","4,99 €",2 évaluations,Non disponible,Fantasy,https://www.amazon.fr/Fantasy-Yoann-Kavege/dp/2487276045/ref=sr_1_4,2025-09-03T11:21:50.593963,,,,,,,
Fantasy,Yoann Kavege,Prix non disponible,https://m.media-amazon.com/images/I/71rpn86nZ9L._SY342_.jpg,"Deux héroïnes, deux histoires, un seul album : Yoann Kavege renverse la perspective avec un livre à double entrée.Pour Alma, c'est le grand jour : choisie par le royaume pour le rituel de la Saignée des Dieux, la princesse héritière va voyager jusqu'à leurs terres afin d'en terrasser un, et ainsi ve...",Format Kindle,"5,0 sur 5 étoiles","29,90 €",2 évaluations,Non disponible,Fantasy,https://www.amazon.fr/Fantasy-Yoann-Kavege-ebook/dp/B0F2ZRHLZH/ref=sr_1_4,2025-09-03T11:21:55.743331,,,,,,,
La Malerune : trilogie complète,Pierre Grimbert,"22,90€",https://m.media-amazon.com/images/I/71WixY0XHuL._SY342_.jpg,"Une bien étrange paire se présente aux portes du château Garamont : un sorcier autoritaire et susceptible, accompagné d’un homme-loup aussi effrayant que noble de coeur. Pour la jeune Ariale, retenue prisonnière dans sa chambre, nul doute qu’ils ont un lien avec le chevalier Eras, son père mystérieu...",En stock,"4,5 sur 5 étoiles",Poche – 25 janvier 2012,69 évaluations,Non disponible,Fantasy,https://www.amazon.fr/Malerune-trilogie-compl%C3%A8te-Pierre-Grimbert/dp/2253132810/ref=sr_1_5,2025-09-03T11:22:01.109890,,,,,,,
As Blue As Sky: Dark Peace – Tome 2,Louise Garénaux,Prix non disponible,https://m.media-amazon.com/images/I/51+q1jzAJkL._SY342_.jpg,"Alors que le calme semblait être de retour à l'aube d'une vie nouvelle pour April, une tempête éclate, brisant le bleu apaisant d'un ciel à présent lourd de menaces.L'orage s'abat et arrache des vies innocentesDans un éclair inconnu, il vous brise et vous hanteEt il vous faudra affronter et vaincre ...",En stock,"5,0 sur 5 étoiles",Broché – 9 août 2025,1 évaluation,Non disponible,Fantasy,https://www.amazon.fr/As-Blue-Sky-Dark-Peace/dp/B0FGXJW2VG/ref=sr_1_6,2025-09-03T11:22:05.793649,,,,,,,
Ironhold : Épreuve une (Tome 1 de la série Ironhold),Morgan Rice,Prix non disponible,https://m.media-amazon.com/images/I/81D9OnO3AnL._SY342_.jpg,"""Un roman plein d'action... L'écriture de Rice est solide et le concept intriguant.""--Publishers Weekly (à propos de La Quête des héros)""J'attends chaque nouveau livre de cet auteur avec impatience et je n'ai jamais été déçue !""--Book Reviewer (Wish)⭐⭐⭐⭐⭐Morgan Rice, auteur à succès n°1, inaugure un...",Format Kindle,"4,3 sur 5 étoiles",Format Kindle,41 évaluations,Classement des meilleures ventes d'Amazon :  n°522 des titres gratuits dans la Boutique Kindle (Voir les 100 premiers en Boutique Kindle)   6 en Fantasy romantique - ebooks,Fantasy,https://www.amazon.fr/Ironhold-%C3%89preuve-une-s%C3%A9rie-ebook/dp/B0DVF43RG4/ref=sr_1_7,2025-09-03T11:22:11.765777,,,,,,,
Le Temps des sorcières,Alix E. Harrow,"10,40€",https://m.media-amazon.com/images/I/71GZDGeSPHL._SY342_.jpg,"Avant, quand l’air était si imprégné de magie qu’il laissait un goût de cendres sur la langue, les sorcières étaient féroces et intrépides. Ce temps n’est plus, les hommes ont dressé des bûchers, et les femmes ont appris à se taire, à dissimuler ce qui leur restait de magie dans des comptines, des f...",En stock,"4,5 sur 5 étoiles","14,99 €",130 évaluations,Non disponible,Fantasy,https://www.amazon.fr/Temps-sorci%C3%A8res-Alix-Harrow/dp/2253243752/ref=sr_1_10,2025-09-03T11:22:17.558228,,,,,,,
Le temps des sorcières (Le Rayon Imaginaire),Alix E. Harrow,Prix non disponible,https://m.media-amazon.com/images/I/81dBdCER7dL._SY342_.jpg,"Avant, quand l’air était si imprégné de magie qu’il laissait un goût de cendres sur la langue, les sorcières étaient féroces et intrépides, la magie flamboyait et la nuit leur appartenait. Ce temps n’est plus, les hommes ont dressé des bûchers, et les femmes ont appris à se taire, à dissimuler ce qu...",Format Kindle,"4,5 sur 5 étoiles","28,00 €",130 évaluations,Non disponible,Fantasy,https://www.amazon.fr/temps-sorci%C3%A8res-Rayon-Imaginaire-ebook/dp/B0BHDWKGSV/ref=sr_1_10,2025-09-03T11:22:23.848762,,,,,,,
Le temps des sorcières,Alix E. Harrow,"28,00€",https://m.media-amazon.com/images/I/71CJEMOYX+L._SY342_.jpg,"Avant, quand l’air était si imprégné de magie qu’il laissait un goût de cendres sur la langue, les sorcières étaient féroces et intrépides, la magie flamboyait et la nuit leur appartenait. Ce temps n’est plus, les hommes ont dressé des bûchers, et les femmes ont appris à se taire, à dissimuler ce qu...",Il ne reste plus que 6 exemplaire(s) en stock (d'autres exemplaires sont en cours d'acheminement).,"4,5 sur 5 étoiles","14,99 €",130 évaluations,Non disponible,Fantasy,https://www.amazon.fr/temps-sorci%C3%A8res-Alix-Harrow/dp/2017164003/ref=sr_1_10,2025-09-03T11:22:29.966528,,,,,,,
"L’Appel du Vide – Roman de Dark Fantasy Poétique: Une héroïne rejetée, un renard blanc, un monde brisé – Tome 1 (LES ÉCORCHÉS – Dark Fantasy émotionnelle et initiatique)",Sol Wen,Prix non disponible,https://m.media-amazon.com/images/I/71tNpROR2KL._SY342_.jpg,Elle n’a plus de foyer. Elle n’a plus de nom. Il ne lui reste qu’un don que l’on veut briser.,Format Kindle,"3,1 sur 5 étoiles",Format Kindle,4 évaluations,Classement des meilleures ventes d'Amazon :  n°182 des titres gratuits dans la Boutique Kindle (Voir les 100 premiers en Boutique Kindle)   1 en Fantasy épique - ebooks  2 en Fantasy romantique - ebooks  3 en Horreur dark fantasy - ebooks,Fantasy,https://www.amazon.fr/LAppel-Vide-Po%C3%A9tique-%C3%A9motionnelle-initiatique-ebook/dp/B0FM8KWB3R/ref=sr_1_11,2025-09-03T11:22:36.321081,,,,,,,
"La Trilogie de la Bibliothèque, T2 : Le livre qui brisa le monde",Mark Lawrence,Prix non disponible,https://m.media-amazon.com/images/I/81V4lzwxPEL._SY342_.jpg,"La bibliothèque englobe les mondes et les époques. Au coeur de ses vastes espaces, Evar Eventari a rencontré Livira Page, puis l'y a perdue.",En stock,"4,6 sur 5 étoiles","12,99 €",13 évaluations,Non disponible,Fantasy,https://www.amazon.fr/Trilogie-Biblioth%C3%A8que-T2-livre-brisa/dp/B0F328DM7G/ref=sr_1_12,2025-09-03T11:22:41.228673,,,,,,,
Le Roi des Érèbes (broché),Juliette Cross,Prix non disponible,https://m.media-amazon.com/images/I/71lhw5ObtbL._SY342_.jpg,Elle a capturé mon âme. Je suis le geôlier de son corps.,Cet article paraîtra le 25 septembre 2025.,Diapositive précédente des détails du produit,"12,99 €",0 avis,Non disponible,Fantasy,https://www.amazon.fr/Roi-%C3%89r%C3%A8bes-broch%C3%A9-Juliette-Cross/dp/2385661985/ref=sr_1_19,2025-09-03T11:22:55.653220,,,,,,,
L'Ère de la nuit - Tome 01 Le Roi des Érèbes (e-book),Juliette Cross,Prix non disponible,https://m.media-amazon.com/images/I/81ew+Wbc5uL._SY342_.jpg,Elle a capturé mon âme. Je suis le geôlier de son corps.,Format Kindle,Diapositive précédente des détails du produit,"19,90 €",0 avis,Non disponible,Fantasy,https://www.amazon.fr/L%C3%88re-nuit-Roi-%C3%89r%C3%A8bes-book-ebook/dp/B0FM16L3HP/ref=sr_1_19,2025-09-03T11:22:59.777840,,,,,,,
