titre,url,prix,auteur,note,nombre_avis,format,image_url,date_scraping,description,stock,isbn,editeur,date_publication,pages,rang_vente,categorie,page_source,image,etoiles
Notre Classe est une Famille,https://www.amazon.fr/Notre-Classe-est-une-Famille/dp/1735414115/ref=sr_1_67,"12,77 €",Shannon Olsen,"4,4 sur 5 étoiles, détails de l’évaluation",537,Broché,https://m.media-amazon.com/images/I/71yAEUaJeUL._AC_UY218_.jpg,2025-09-04T18:53:42.484851,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
Dictionnaire Le Robert de Poche langue française,https://www.amazon.fr/Dictionnaire-Robert-Poche-Nouvelle-%C3%89dition/dp/2321016558/ref=sr_1_68,"9,95 €",de Collectif | 7 mai 2021,"4,7 sur 5 étoiles, détails de l’évaluation",902,Broché,https://m.media-amazon.com/images/I/61+smzT17EL._AC_UY218_.jpg,2025-09-04T18:53:42.487857,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
La Confrérie de Nuada - Décidez de votre destin - La Saga de Dagda,https://www.amazon.fr/Confr%C3%A9rie-Nuada-D%C3%A9cidez-votre-destin/dp/2412102988/ref=sr_1_69,"15,95 €",Fabien Olicard,Note non disponible,0 avis,Broché,https://m.media-amazon.com/images/I/51I0FXWyd1L._AC_UY218_.jpg,2025-09-04T18:53:42.490354,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
Microméga Physique Chimie Cycle 4 - Ed 2025 - Mon carnet de labo,https://www.amazon.fr/Microm%C3%A9ga-Physique-Chimie-Cycle-carnet/dp/2401115900/ref=sr_1_70,"3,90 €",de Christophe Daujean et Fabrice Massa | 7 mai 2025,"4,2 sur 5 étoiles, détails de l’évaluation",24,Broché,https://m.media-amazon.com/images/I/71ZPWd8d5rL._AC_UY218_.jpg,2025-09-04T18:53:42.493350,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
Hypersensible par ici: Trouver sa place dans un monde qui ne nous comprend pas.,https://www.amazon.fr/Hypersensible-par-ici-Trouver-comprend/dp/B0F9SSXNZN/ref=sr_1_71,"18,90 €",Célestine Leroi,"4,9 sur 5 étoiles, détails de l’évaluation",42,Broché,https://m.media-amazon.com/images/I/61m-h5unbtL._AC_UY218_.jpg,2025-09-04T18:53:42.495768,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
"Un jour, un problème - MS/GS",https://www.amazon.fr/jour-probl%C3%A8me-MS-GS/dp/2095031474/ref=sr_1_72,"52,00 €",Florent Nouguez,"4,9 sur 5 étoiles, détails de l’évaluation",44,Broché,https://m.media-amazon.com/images/I/51j+NO8+YfL._AC_UY218_.jpg,2025-09-04T18:53:42.497844,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
Le dictionnaire Larousse Junior poche - 7/11 ans - CE/CM,https://www.amazon.fr/dictionnaire-Larousse-Junior-poche-ans/dp/2036068758/ref=sr_1_73,"11,95 €",Larousse,"5,0 sur 5 étoiles, détails de l’évaluation",4,Broché,https://m.media-amazon.com/images/I/71-S3dwSMXL._AC_UY218_.jpg,2025-09-04T18:53:42.499817,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
Réussir son entrée en grammaire CE1 (+ ressources numériques) - Nouvelle édition conforme aux programmes 2025,https://www.amazon.fr/R%C3%A9ussir-entr%C3%A9e-grammaire-ressources-num%C3%A9riques/dp/2725647428/ref=sr_1_74,"26,90 €",de Francoise Bellanger et Aurélie Raoul-Bellanger | 30 avril 2025,"3,8 sur 5 étoiles, détails de l’évaluation",5,Broché,https://m.media-amazon.com/images/I/51sgOasVO7L._AC_UY218_.jpg,2025-09-04T18:53:42.502338,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
Plus grand que le ciel,https://www.amazon.fr/Plus-grand-ciel-Virginie-Grimaldi/dp/2253251674/ref=sr_1_77,"8,90 €",Virginie Grimaldi,"4,4 sur 5 étoiles, détails de l’évaluation",6 080,Poche,https://m.media-amazon.com/images/I/71gTwGi7ntL._AC_UY218_.jpg,2025-09-04T18:53:42.511437,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
Tenir debout,https://www.amazon.fr/Tenir-debout-M%C3%A9lissa-Costa/dp/2253251712/ref=sr_1_78,"10,90 €",Mélissa Da Costa,"4,6 sur 5 étoiles, détails de l’évaluation",4 761,Poche,https://m.media-amazon.com/images/I/71-jQreuHLL._AC_UY218_.jpg,2025-09-04T18:53:42.514718,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Informatique,5.0,,
