titre,url,prix,auteur,note,nombre_avis,format,image_url,date_scraping,description,stock,isbn,editeur,date_publication,pages,rang_vente,categorie,page_source,image,etoiles
Les Gouttes de Dieu - Tome 09,https://www.amazon.fr/Gouttes-Dieu-Vol-9-AGI-Tadashi/dp/2723466566/ref=sr_1_323,"9,50 €",Tadashi Agi,"4,7 sur 5 étoiles, détails de l’évaluation",38,Broché,https://m.media-amazon.com/images/I/61x1aJIYgZL._AC_UY218_.jpg,2025-09-04T08:44:08.161666,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
"Berserk of Gluttony T10 - Manga: Berserk of Gluttony Manga, T10",https://www.amazon.fr/Berserk-Gluttony-Manga-T10-ebook/dp/B0DNR6PHB6/ref=sr_1_324,"8,00 €",Ichika Isshiki,"4,8 sur 5 étoiles, détails de l’évaluation",47,Format Kindle,https://m.media-amazon.com/images/I/819Osdm4RCL._AC_UY218_.jpg,2025-09-04T08:44:08.163849,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
Hunter X Hunter - Tome 10,https://www.amazon.fr/Hunter-X-10-Yoshihiro-Togashi/dp/2871293252/ref=sr_1_325,"7,30 €",Yoshihiro Togashi,"4,8 sur 5 étoiles, détails de l’évaluation",333,Poche,https://m.media-amazon.com/images/I/81fmRhkEpvL._AC_UY218_.jpg,2025-09-04T08:44:08.166518,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
Nukinin - Rin : La shinobi prédatrice,https://www.amazon.fr/Nukinin-shinobi-pr%C3%A9datrice-Kabuki-Shigeyuki/dp/2385041022/ref=sr_1_326,"11,95 €",Kabuki Shigeyuki,Note non disponible,0 avis,Poche,https://m.media-amazon.com/images/I/91uF7vY6dZL._AC_UY218_.jpg,2025-09-04T08:44:08.168883,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
Voyage au centre de la Terre T01,https://www.amazon.fr/Voyage-au-centre-Terre-T01/dp/2811696040/ref=sr_1_329,"25,00 €",Jules Verne,"4,5 sur 5 étoiles, détails de l’évaluation",29,Relié,https://m.media-amazon.com/images/I/81QfAXwP9dL._AC_UY218_.jpg,2025-09-04T08:44:08.178915,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
"CREE TON MANGA 100 planches BD vierges: bande dessinée vierge pour adultes, adolescents ou enfants | Crée ton propre manga | BD de 100 planches à dessiner",https://www.amazon.fr/CREE-TON-MANGA-planches-vierges/dp/B084QLMBBD/ref=sr_1_330,"7,99 €",de Les Editions de Mus | 15 février 2020,"4,4 sur 5 étoiles, détails de l’évaluation",33,Broché,https://m.media-amazon.com/images/I/41mAsLKC17L._AC_UY218_.jpg,2025-09-04T08:44:08.181674,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
WILD STRAWBERRY T03,https://www.amazon.fr/WILD-STRAWBERRY-T03-Ire-Yonemoto/dp/2820352332/ref=sr_1_331,"7,99 €",de Ire Yonemoto | 3 septembre 2025,Note non disponible,0 avis,Broché,https://m.media-amazon.com/images/I/91img1tlYhL._AC_UY218_.jpg,2025-09-04T08:44:08.184192,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
Le Poids du Silence - Tome 04,https://www.amazon.fr/Poids-du-Silence-04/dp/238503977X/ref=sr_1_332,"7,95 €",de Fujimatsu Mei | 5 décembre 2025,Note non disponible,0 avis,Poche,https://m.media-amazon.com/images/I/81wtKkjsdrL._AC_UY218_.jpg,2025-09-04T08:44:08.186788,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
Mars - Perfect Edition T06,https://www.amazon.fr/Mars-Perfect-T06-Fuyumi-Soryo/dp/B0CY1N5N5P/ref=sr_1_334,"16,99 €",Fuyumi Soryo,"5,0 sur 5 étoiles, détails de l’évaluation",2,Broché,https://m.media-amazon.com/images/I/71uPF9VJwJL._AC_UY218_.jpg,2025-09-04T08:44:08.191865,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
Les fleurs du passé - Tome 05: Natsuyuki rendez-vous - Extra,https://www.amazon.fr/fleurs-pass%C3%A9-Natsuyuki-rendez-vous-Extra/dp/2380601380/ref=sr_1_335,"8,00 €",de Haruka Kawachi | 24 octobre 2025,Note non disponible,0 avis,Broché,https://m.media-amazon.com/images/I/91mTeGV6ZGL._AC_UY218_.jpg,2025-09-04T08:44:08.194542,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Manga,21.0,,
