titre,url,prix,auteur,note,nombre_avis,format,image_url,date_scraping,description,stock,isbn,editeur,date_publication,pages,rang_vente,categorie,page_source,timestamp,page,image,etoiles
L'Enigme de la chambre 622,https://www.amazon.fr/LEnigme-chambre-622-Jo%C3%ABl-Dicker/dp/2889730026/ref=sr_1_321,"9,90 €",Joël Dicker,"4,2 sur 5 étoiles, détails de l’évaluation",12 932,Poche,https://m.media-amazon.com/images/I/710co50qFJL._AC_UY218_.jpg,2025-09-04T08:33:00.386501,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
Les gens heureux lisent et boivent du café (Hors collection),https://www.amazon.fr/gens-heureux-lisent-boivent-collection-ebook/dp/B00BNCOBB8/ref=sr_1_322,"7,99 €",Agnès Martin-Lugand,"4,1 sur 5 étoiles, détails de l’évaluation",10 336,Format Kindle,https://m.media-amazon.com/images/I/81t4mvh5UZL._AC_UY218_.jpg,2025-09-04T08:33:00.389673,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
Boys of Tommen - Tome 1 Binding 13,https://www.amazon.fr/Boys-Tommen-1-Binding-13/dp/238579005X/ref=sr_1_323,"19,90 €",Chloe Walsh,"4,8 sur 5 étoiles, détails de l’évaluation",617,Broché,https://m.media-amazon.com/images/I/61lyaxIkRDL._AC_UY218_.jpg,2025-09-04T08:33:00.393251,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
Au Bord De La Folie: Thriller Post-Apocalyptique (Série Edge of Collapse t. 2),https://www.amazon.fr/Au-Bord-Folie-Thriller-Post-Apocalyptique-ebook/dp/B0D71DP34S/ref=sr_1_324,"15,81 €",Kyla Stone,"4,5 sur 5 étoiles, détails de l’évaluation",1 660,Format Kindle,https://m.media-amazon.com/images/I/81K0m9bYCQL._AC_UY218_.jpg,2025-09-04T08:33:00.396170,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
L'Affaire Alaska Sanders,https://www.amazon.fr/LAffaire-Alaska-Sanders-Jo%C3%ABl-Dicker/dp/2889730492/ref=sr_1_325,"9,90 €",Joël Dicker,"4,5 sur 5 étoiles, détails de l’évaluation",11 120,Poche,https://m.media-amazon.com/images/I/51O69SfO0JL._AC_UY218_.jpg,2025-09-04T08:33:00.399528,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
Madelaine avant l'aube - Prix Goncourt des lycéens 2024,https://www.amazon.fr/Madelaine-avant-laube-Goncourt-lyc%C3%A9ens-ebook/dp/B0D935XGVM/ref=sr_1_326,"9,99 €",Sandrine Collette,"4,2 sur 5 étoiles, détails de l’évaluation",2 670,Format Kindle,https://m.media-amazon.com/images/I/81bnnPR0F5L._AC_UY218_.jpg,2025-09-04T08:33:00.402715,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
La jeune fille sur la falaise,https://www.amazon.fr/jeune-fille-sur-falaise-ebook/dp/B0BTPD6WJ4/ref=sr_1_327,"7,99 €",Lucinda Riley,"4,5 sur 5 étoiles, détails de l’évaluation",4 257,Format Kindle,https://m.media-amazon.com/images/I/81ycAWc33GL._AC_UY218_.jpg,2025-09-04T08:33:00.406078,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
Comme en amour,https://www.amazon.fr/Comme-en-amour-Alice-Ferney/dp/2330209258/ref=sr_1_328,"22,00 €",Alice Ferney,"4,3 sur 5 étoiles, détails de l’évaluation",4,Broché,https://m.media-amazon.com/images/I/61eNEwcaObL._AC_UY218_.jpg,2025-09-04T08:33:00.408831,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
Haute-Folie,https://www.amazon.fr/Haute-Folie-Antoine-Wauters/dp/2073101550/ref=sr_1_329,"19,00 €",Antoine Wauters,"3,9 sur 5 étoiles, détails de l’évaluation",4,Broché,https://m.media-amazon.com/images/I/81ciq0ic2nL._AC_UY218_.jpg,2025-09-04T08:33:00.412400,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
Tressaillir,https://www.amazon.fr/Tressaillir-Maria-Pourchet/dp/2234097150/ref=sr_1_330,"21,90 €",Maria Pourchet,"3,5 sur 5 étoiles, détails de l’évaluation",6,Broché,https://m.media-amazon.com/images/I/71yA9z71akL._AC_UY218_.jpg,2025-09-04T08:33:00.415249,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Marketing et Publicité,21.0,,,,
