titre,auteur,prix,note,url,categorie,date_scraping,source
,,"PochePrix, page produit12,00 €12,00€","4,8 sur 5 étoiles",https://www.amazon.fr/Magiciens-nouveau-si%C3%A8cle-Jai-lu/dp/2290225185,Religions Et Spiritualites,2025-09-12T15:01:59.622682,Amazon FR
,,Broché,"5,0 sur 5 étoiles",https://www.amazon.fr/Itin%C3%A9raire-dun-Yogi-Paramahamsa-Praj%C3%B1anananda/dp/2716314276,Religions Et Spiritualites,2025-09-12T15:01:59.623223,Amazon FR
,,"BrochéPrix, page produit9,00 €9,00€",,https://www.amazon.fr/Dossier-Objets-sacr%C3%A9-Agora-Editions/dp/2940318743,Religions Et Spiritualites,2025-09-12T15:01:59.624008,Amazon FR
,,"BrochéPrix, page produit18,90 €18,90€","5,0 sur 5 étoiles",https://www.amazon.fr/Fils-saint-Fran%C3%A7ois-capucins-spiritualit%C3%A9/dp/B0CRKRHR3B,Religions Et Spiritualites,2025-09-12T15:01:59.624985,Amazon FR
,,"Format KindlePrix, page produit17,96 €17,96€Prix livre imprimé : 29,54 €Prix livre imprimé :29,54 €29,54€","4,6 sur 5 étoiles",https://www.amazon.fr/Psychology-World-Religions-Spiritualities-Spirituality-ebook/dp/B08D7DFXXR,Religions Et Spiritualites,2025-09-12T15:01:59.626055,Amazon FR
,,Format KindleInclus dans l’Abonnement KindleEn savoir plus,"4,7 sur 5 étoiles",https://www.amazon.fr/Conversations-avec-Dieu-dialogue-commun-ebook/dp/B00WUXHXE6,Religions Et Spiritualites,2025-09-12T15:01:59.626818,Amazon FR
,,Broché,,https://www.amazon.fr/spirituelle-originelle-transmise-ma%C3%AEtres-r%C3%A9alis%C3%A9s/dp/2716311412,Religions Et Spiritualites,2025-09-12T15:01:59.627375,Amazon FR
,,Broché,,https://www.amazon.fr/RACINES-Anthologie-spiritualit%C3%A9-premiers-chr%C3%A9tiens/dp/2712207254,Religions Et Spiritualites,2025-09-12T15:01:59.627873,Amazon FR
,,"PochePrix, page produit13,00 €13,00€",,https://www.amazon.fr/R%C3%A9cit-dun-moine-athonite-URSS/dp/2940701822,Religions Et Spiritualites,2025-09-12T15:01:59.628750,Amazon FR
,,"ReliéPrix, page produit25,40 €25,40€","4,4 sur 5 étoiles",https://www.amazon.fr/religions-origines-IIIe-mill%C3%A9naire/dp/2361064030,Religions Et Spiritualites,2025-09-12T15:01:59.629671,Amazon FR
,,"ReliéPrix, page produit21,95 €21,95€","4,6 sur 5 étoiles",https://www.amazon.fr/Suis-ton-elle-connait-chemin/dp/2019457938,Religions Et Spiritualites,2025-09-12T15:01:59.630874,Amazon FR
,,"Format KindlePrix, page produit13,99 €13,99€Prix livre imprimé : 18,00 €Prix livre imprimé :18,00 €18,00€",,https://www.amazon.fr/J%C3%A9sus-chez-Flavius-Jos%C3%A8phe-Spiritualit%C3%A9-ebook/dp/B0F2DJMDFF,Religions Et Spiritualites,2025-09-12T15:01:59.631625,Amazon FR
,,Broché,"5,0 sur 5 étoiles",https://www.amazon.fr/Magie-religion-spiritualite-Rastoueix-guinot-Bri/dp/2848862394,Religions Et Spiritualites,2025-09-12T15:01:59.632126,Amazon FR
,,"BrochéPrix, page produit17,00 €17,00€","5,0 sur 5 étoiles",https://www.amazon.fr/Instructions-spirituelles-Krishna-Menon/dp/2863163604,Religions Et Spiritualites,2025-09-12T15:01:59.632879,Amazon FR
,,"Format KindlePrix, page produit36,97 €36,97€Prix livre imprimé : 270,45 €Prix livre imprimé :270,45 €270,45€",,https://www.amazon.fr/New-Religions-Spiritualities-Stephen-Hunt-ebook/dp/B06XDNYR7Q,Religions Et Spiritualites,2025-09-12T15:01:59.633920,Amazon FR
,,"BrochéPrix, page produit25,85 €25,85€",,https://www.amazon.fr/Druidism-Tengrism-Taaraism-Reactivations-Spiritualities/dp/1801352364,Religions Et Spiritualites,2025-09-12T15:01:59.634895,Amazon FR
