titre,url,prix,auteur,note,nombre_avis,format,image_url,date_scraping,description,stock,isbn,editeur,date_publication,pages,rang_vente,categorie,page_source,image,etoiles,timestamp,page
Les secrets de la famille Ballock,#,"19,90 €",Dan Achache,"3,9 sur 5 étoiles, détails de l’évaluation",50,Broché,https://m.media-amazon.com/images/I/71+G9wFL10L._AC_UY218_.jpg,2025-09-04T19:18:27.850960,Description non disponible depuis la recherche,Stock non disponible,ISBN non disponible,Éditeur non disponible,Date non disponible,Nombre de pages non disponible,Rang de vente non disponible,Science-Fiction,141.0,,,,
"La mort c'est ma vie: Dr. Philippe Boxho, le médecin légiste qui fait parler les morts.",https://www.amazon.fr/mort-cest-vie-Philippe-m%C3%A9decin/dp/2931300160,"19,90€",Philippe Boxho,,23 évaluations,"Broché – Grand livre, 27 août 2025",,2025-09-03T11:16:06.302247,"« Ce qui a motivé mon choix de la médecine légale ?Le hasard. J’avais 18 ans, l’âge où tout est possible, et la prêtrise me tentait beaucoup, j’adorais étudier les évangiles, rencontrer les gens, aider ceux qui en avaient besoin, et je me sentais prêt à m’y engager.Mais j’ai choisi de faire des étud...",En stock,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/81VyKEiT+zL._SY342_.jpg,"4,6 sur 5 étoiles",,
"Chut, ma puce: Un thriller palpitant au suspens incroyable (Les enquêtes de l'inspectrice Josie Quinn t. 11)",https://www.amazon.fr/Chut-puce-palpitant-incroyable-linspectrice-ebook/dp/B0F14G5J9W,Prix non disponible,Lisa Regan,,401 évaluations,"11,98 €",,2025-09-03T11:16:12.609798,"Vêtue d’un pyjama couvert d’étoiles, la petite fille est parfaitement immobile, les bras bien croisés sur la poitrine. Les fleurs sauvages qui ornent ses cheveux s’éparpillent dans l’herbe sous l’effet de la brise. Ses lèvres sont légèrement entrouvertes, comme pour murmurer bonne nuit pour la toute...",Format Kindle,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/81-ohxX4N1L._SY342_.jpg,"4,5 sur 5 étoiles",,
The Hallmarked Man: Cormoran Strike Book 8 (English Edition),https://www.amazon.fr/Hallmarked-Man-Cormoran-Strike-English-ebook/dp/B0DS571XMN,Prix non disponible,Robert Galbraith,,0 avis,"38,56 €",,2025-09-03T11:16:24.170913,'A triumph of storytelling',Format Kindle,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/819s6imvivL._SY342_.jpg,Diapositive précédente des détails du produit,,
"Mort sur la Seine: Enquête, mystère et romance au XIXe siècle (Détectives en jupons)",https://www.amazon.fr/Mort-sur-Seine-Enqu%C3%AAte-D%C3%A9tectives-ebook/dp/B0FG2HDG3S,Prix non disponible,S.D. Fischer,,11 évaluations,"25,00 €",,2025-09-03T11:16:34.322112,"Enquête, mystère et romance sous la Monarchie de Juillet !",Format Kindle,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/61eP8+oIvOL._SY342_.jpg,"4,8 sur 5 étoiles",,
The Hallmarked Man: Cormoran Strike Book 8,https://www.amazon.fr/Hallmarked-Man-Cormoran-Strike-Book/dp/1408723794,Prix non disponible,Robert Galbraith,,0 avis,"19,99 €",,2025-09-03T11:16:38.982372,'A triumph of storytelling',En stock,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/819s6imvivL._SY342_.jpg,Diapositive précédente des détails du produit,,
La belle-mère parfaite,https://www.amazon.fr/belle-m%C3%A8re-parfaite-SL-Harker-ebook/dp/B0FLVH9RC1,Prix non disponible,SL Harker,,54 évaluations,"10,99 €",,2025-09-03T11:16:44.714389,"« Je suis coincée dans cette maison jusqu'à ce que mon mari revienne de voyage, et je vais devoir trouver le moyen de vivre avec cette femme dans cet endroit sombre et froid. Je crains qu'au fond d'elle-même, elle ne soit quelque peu déséquilibrée et qu’elle ne cache un sombre secret ».",Format Kindle,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/717KO-AuXQL._SY342_.jpg,"3,9 sur 5 étoiles",,
"Tu deviendras bourreau : Thriller policier captivant — Exécution numérique 'live', otage en sursis, course contre la mort (Les enquêtes de l’inspectrice Georgina Stuart t. 5)",https://www.amazon.fr/deviendras-bourreau-captivant-Ex%C3%A9cution-linspectrice-ebook/dp/B0FJBR54TL,Prix non disponible,Emma  De Luca,,7 évaluations,"17,92 €",,2025-09-03T11:16:50.910754,Une vidéo en direct.Une étudiante captive.Six heures avant l'exécution.,Format Kindle,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/71o-SwIumSL._SY342_.jpg,"4,6 sur 5 étoiles",,
"38, rue de Londres: De l'impunité, Pinochet et le nazi de Patagonie",https://www.amazon.fr/38-rue-Londres-limpunit%C3%A9-Patagonie/dp/2226493441,Prix non disponible,Philippe Sands,,0 avis,"16,99 €",,2025-09-03T11:16:56.635322,"Dans la soirée du 16 octobre 1998, le dictateur chilien Augusto Pinochet est arrêté dans une clinique de Londres.",En stock,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/91LckzzOVZL._SY342_.jpg,Diapositive précédente des détails du produit,,
Le Couple d'à côté,https://www.amazon.fr/Couple-d%C3%A0-c%C3%B4t%C3%A9-Shari-LAPENA/dp/2266286277/ref=sr_1_19,Prix non disponible,Shari Lapena,,3 290 évaluations,"12,99 €",,2025-09-03T11:17:14.850620,"Ce soir, Anne et Marco sont invités à dîner chez leurs voisins, le couple d'à côté. Comme la baby-sitter annule au dernier moment et que les maisons sont mitoyennes, Marco convainc Anne de laisser Cora, 6 mois, dans son berceau et d'emporter le babyphone. Tout se passe comme prévu malgré la chaleur ...",Disponible pour expédition d'ici 1 à 2 jours,,,,,Non disponible,Science-Fiction,,https://m.media-amazon.com/images/I/61Nbz2AipTL._SY342_.jpg,"4,2 sur 5 étoiles",,
